Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Life_CPR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume,series
2020-12-15 00:00:00,Deal AFRM20Z2,0.0,0.0,0.03,0.03,188005.0,0.03,2.19,0.0,1.5957022419616498e-07,8.97,9.19,8.91,9.09,9.09,2282100.0,1
2021-01-15 00:00:00,Deal AFRM20Z2,0.0,0.0,0.02,0.07,183717.0,0.03,8.0,0.0,3.8102080917933565e-07,11.09,11.15,10.64,10.66,10.66,988500.0,1
2021-02-15 00:00:00,Deal AFRM20Z2,0.0,0.01,0.03,0.09,179462.0,0.03,10.11,-0.01,5.014989245634173e-07,12.32,13.3,12.15,12.72,12.72,2043200.0,1
2021-03-15 00:00:00,Deal AFRM20Z2,0.0,0.02,0.2,0.11,175708.0,0.06,10.57,-0.02,6.260386550413185e-07,15.0,17.67,14.93,17.09,17.09,6363100.0,1
2021-04-15 00:00:00,Deal AFRM20Z2,0.0,0.04,0.39,0.11,170673.0,0.12,11.64,-0.04,6.445073327356993e-07,15.13,15.315,14.41,14.78,14.78,1646400.0,1
2021-05-15 00:00:00,Deal AFRM20Z2,0.0,0.06,0.28,0.11,166829.0,0.14,11.31,-0.06,6.593577855169066e-07,12.97,13.4,12.72,12.88,12.88,1785400.0,1
2021-06-15 00:00:00,Deal AFRM20Z2,0.0,0.08,0.38,0.13,162781.0,0.17,11.54,-0.08,7.986190034463482e-07,16.549999,17.83,16.540001,17.67,17.67,1751600.0,1
2021-07-15 00:00:00,Deal AFRM20Z2,0.0,0.1,0.33,0.15,158268.0,0.19,11.69,-0.1,9.477594965501554e-07,16.219999,16.879999,15.89,16.08,16.08,1150700.0,1
2021-08-15 00:00:00,Deal AFRM20Z2,0.0,0.11,0.26,0.18,153940.0,0.19,12.28,-0.11,1.1692867350915941e-06,28.809999,29.0,27.82,28.16,28.16,1304600.0,1
2021-09-15 00:00:00,Deal AFRM20Z2,0.0,0.13,0.45,0.19,150041.0,0.22,12.69,-0.13,1.266320539052659e-06,29.200001,29.5,28.403,28.690001,28.690001,1422800.0,1
2021-10-15 00:00:00,Deal AFRM20Z2,0.0,0.15,0.31,0.21,144325.0,0.23,12.89,-0.15,1.4550493677464057e-06,34.560001,34.73,33.279999,34.200001,34.200001,2258800.0,1
2021-11-15 00:00:00,Deal AFRM20Z2,0.0,0.17,0.48,0.23,140165.0,0.24,12.8,-0.17,1.640923197659901e-06,44.310001,46.639999,42.650002,43.59,43.59,2726500.0,1
2021-12-15 00:00:00,Deal AFRM20Z2,0.0,0.18,0.3,0.26,136839.0,0.25,12.52,-0.18,1.9000431163630251e-06,26.1,27.5,24.959999,26.9,26.9,3424100.0,1
2022-01-15 00:00:00,Deal AFRM20Z2,0.0,0.2,0.5,0.27,133079.0,0.27,12.32,-0.2,2.0288700696578726e-06,23.77,24.440001,22.459999,22.52,22.52,3043800.0,1
2022-02-15 00:00:00,Deal AFRM20Z2,0.0,0.22,0.74,0.24,129008.0,0.3,12.13,-0.22,1.8603497457522014e-06,17.700001,18.424,17.549999,18.389999,18.389999,2347200.0,1
2022-03-15 00:00:00,Deal AFRM20Z2,0.0,0.23,0.42,0.25,125140.0,0.3,11.71,-0.23,1.9977625059932876e-06,13.58,14.18,13.42,14.12,14.12,1852400.0,1
2022-04-15 00:00:00,Deal AFRM20Z2,0.0,0.25,0.51,0.25,120793.0,0.31,11.36,-0.25,2.069656354258939e-06,13.37,13.63,13.21,13.45,13.45,1541300.0,1
2022-05-15 00:00:00,Deal AFRM20Z2,0.0,0.26,0.38,0.24,116561.0,0.32,10.67,-0.26,2.059007729858186e-06,14.04,14.13,13.46,13.53,13.53,2244000.0,1
2022-06-15 00:00:00,Deal AFRM20Z2,0.0,0.27,0.5,0.27,112180.0,0.33,10.26,-0.27,2.406846140131931e-06,13.29,13.507,12.73,13.2,13.2,1819400.0,1
2022-07-15 00:00:00,Deal AFRM20Z2,0.0,0.29,0.71,0.31,108957.0,0.34,10.77,-0.29,2.8451590994612555e-06,12.66,12.95,12.42,12.91,12.91,1434200.0,1
2022-08-15 00:00:00,Deal AFRM20Z2,0.0,0.3,0.47,0.34,104887.0,0.35,11.28,-0.3,3.241583799708258e-06,15.26,15.565,15.03,15.56,15.56,971100.0,1
2022-09-15 00:00:00,Deal AFRM20Z2,0.0,0.31,0.78,0.36,100625.0,0.37,11.65,-0.31,3.577639751552795e-06,12.64,13.39,12.64,12.94,12.94,1230800.0,1
