Date,Deal,Gross_Coupon,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume,series
2022-05-15 00:00:00,Deal AFRM21A,21.5237,0.0,2.59,1458668.0,4.09,1.7755925268806883e-06,14.04,14.13,13.46,13.53,13.53,2244000,1
2022-06-15 00:00:00,Deal AFRM21A,21.6265,4.0,2.8,1516429.0,4.31,1.8464431898888769e-06,13.29,13.507,12.73,13.2,13.2,1819400,1
2022-07-15 00:00:00,Deal AFRM21A,21.2631,7.04,3.02,1548652.0,4.5,1.9500830399599134e-06,12.66,12.95,12.42,12.91,12.91,1434200,1
2022-08-15 00:00:00,Deal AFRM21A,20.9332,7.78,3.4,1639843.0,4.67,2.073369218882539e-06,15.26,15.565,15.03,15.56,15.56,971100,1
2022-09-15 00:00:00,Deal AFRM21A,21.3915,8.51,4.69,1407459.0,4.89,3.3322462679197053e-06,12.64,13.39,12.64,12.94,12.94,1230800,1
