Date,1mo CPR,Gross Coupon,Annualized Net Loss Rate,Delinq 30+,Number of Assets,Life CDR,Open,High,Low,Close,Adj_Close,Volume
2022-05-15 00:00:00,Deal AFRM21A,21.5237,0.0,2.59,1458668.0,4.09,23.65,25.52,22.200001,22.950001,22.950001,32557300
2022-06-15 00:00:00,Deal AFRM21A,21.6265,4.0,2.8,1516429.0,4.31,17.709999,19.190001,17.440001,18.6,18.6,14292300
2022-07-15 00:00:00,Deal AFRM21A,21.2631,7.04,3.02,1548652.0,4.5,22.49,23.08,21.15,23.059999,23.059999,14497300
2022-08-15 00:00:00,Deal AFRM21A,20.9332,7.78,3.4,1639843.0,4.67,38.580002,40.77,38.389999,38.419998,38.419998,10247400
2022-09-15 00:00:00,Deal AFRM21A,21.3915,8.51,4.69,1407459.0,4.89,22.709999,25.120001,22.639999,23.99,23.99,17424500
