,Unnamed: 0_x,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,Unnamed: 0_y,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change
0,0,2021-11-29,18.58,18.690001,17.870001,18.43,18.43,23366900,17.200001,15.72,15.95,10.0,,,,,2555.0,-0.0430125939837522,0.0243938950464988,0.0326382625055512,-0.0909570169024768
1,1,2021-11-30,18.25,18.540001,17.129999,17.200001,17.200001,67190100,16.389999,16.620001,15.81,9.62,-0.0470931367969107,0.057251972010178,-0.0087774294670845,-0.038,2556.0,-0.0688653299768455,0.0771811189688028,-0.0182367099453013,-0.0774822348467363
2,2,2021-12-01,17.412001,17.91,16.23,16.389999,16.389999,34471500,16.43,16.940001,15.68,9.72,0.0024405736693455,0.0192539097921835,-0.0082226438962682,0.0103950103950105,2557.0,0.0039691716288476,0.0167683105779973,-0.0103451830957196,0.0016788433916731
3,3,2021-12-02,16.41,16.625,15.96,16.43,16.43,27033800,15.19,15.66,15.05,9.87,-0.0754716981132075,-0.075560857404908,-0.0401785714285714,0.0154320987654319,2558.0,-0.0540500141193783,-0.0593043125461565,-0.0393421496518027,0.0464664313915704
4,4,2021-12-03,16.43,16.440001,14.62,15.19,15.19,64350700,15.72,15.01,14.1,9.41,0.0348913759052009,-0.041507024265645,-0.0631229235880399,-0.0466058763931103,2559.0,0.0264933912182393,-0.0495838311475482,-0.0663429555116114,-0.030134485426412
5,5,2021-12-06,15.06,15.84,14.5,15.72,15.72,34134800,16.620001,14.58,13.78,8.55,0.057251972010178,-0.0286475682878081,-0.0226950354609929,-0.0913921360255046,2562.0,0.0771811189688028,-0.0507664246050298,-0.0137728180971353,-0.0861175850265586
6,6,2021-12-07,16.139999,16.719999,16.120001,16.620001,16.620001,30846600,16.940001,14.48,13.74,7.93,0.0192539097921835,-0.0068587105624142,-0.0029027576197386,-0.072514619883041,2563.0,0.0167683105779973,-0.0251610049896678,-0.0080256393826729,-0.0610410490483832
7,7,2021-12-08,16.790001,17.165001,16.25,16.940001,16.940001,25262600,15.66,15.16,13.37,8.2,-0.075560857404908,0.0469613259668508,-0.0269286754002912,0.0340479192938207,2564.0,-0.0593043125461565,0.0409579573789691,-0.0250206547443161,0.0420848671836333
8,8,2021-12-09,16.66,16.91,15.55,15.66,15.66,32398900,15.01,14.27,13.94,8.57,-0.041507024265645,-0.0587071240105541,0.0426327599102469,0.0451219512195122,2565.0,-0.0495838311475482,-0.0824518554886428,0.0526784594106917,0.0867238971072588
9,9,2021-12-10,15.79,15.87,14.87,15.01,15.01,41344200,14.58,14.65,13.86,8.91,-0.0286475682878081,0.0266292922214437,-0.0057388809182209,0.0396732788798133,2566.0,-0.0507664246050298,0.0105768648138562,-0.0066847225112147,0.0568371088686532
10,10,2021-12-13,14.89,15.25,14.02,14.58,14.58,40507500,14.48,14.59,13.09,9.87,-0.0068587105624142,-0.0040955631399317,-0.0555555555555555,0.1077441077441077,2569.0,-0.0251610049896678,-0.0202976813105256,-0.045969111423945,0.0680662870193639
11,11,2021-12-14,14.27,14.72,14.16,14.48,14.48,26707800,15.16,14.97,13.2,9.57,0.0469613259668508,0.026045236463331,0.0084033613445377,-0.0303951367781154,2570.0,0.0409579573789691,0.0578856639682686,-0.0105467070699541,-0.0061331426482413
12,12,2021-12-15,14.44,15.28,14.03,15.16,15.16,33540400,14.27,14.99,12.06,9.72,-0.0587071240105541,0.0013360053440214,-0.0863636363636363,0.0156739811912225,2571.0,-0.0824518554886428,0.002209854448728,-0.050632967255853,0.0212403349196433
13,13,2021-12-16,15.356,15.44,14.18,14.27,14.27,43018000,14.65,15.09,13.71,9.37,0.0266292922214437,0.0066711140760506,0.1368159203980099,-0.036008230452675,2572.0,0.0105768648138562,0.0108631190991667,0.0255601091688347,-0.0362841975157345
14,14,2021-12-17,14.08,14.77,13.66,14.65,14.65,44408700,14.59,15.39,15.0,9.47,-0.0040955631399317,0.0198807157057654,0.0940919037199123,0.0106723585912487,2573.0,-0.0202976813105256,0.0305106646932838,0.0107202811549507,0.0026146914318361
15,15,2021-12-20,14.48,15.21,14.28,14.59,14.59,31658600,14.97,14.85,13.89,9.01,0.026045236463331,-0.0350877192982457,-0.0739999999999999,-0.0485744456177402,2576.0,0.0578856639682686,-0.0431766715882661,-0.0713567740007792,-0.0477611488624104
16,16,2021-12-21,14.87,15.17,14.72,14.97,14.97,27695600,14.99,14.47,13.3,9.25,0.0013360053440214,-0.0255892255892254,-0.0424766018718502,0.0266370699223086,2577.0,0.002209854448728,-0.0209793233280924,-0.0054163379168777,0.0237974618086237
17,17,2021-12-22,14.86,15.37,14.73,14.99,14.99,24332100,15.09,15.95,12.76,10.14,0.0066711140760506,0.1022805805114028,-0.0406015037593985,0.0962162162162163,2578.0,0.0108631190991667,0.0465667261067215,-0.0130790598846416,0.0878861881954307
18,18,2021-12-23,14.981,15.19,14.73,15.09,15.09,19824000,15.39,15.81,12.58,9.77,0.0198807157057654,-0.0087774294670845,-0.0141065830721003,-0.0364891518737673,2579.0,0.0305106646932838,-0.0182367099453013,0.0127746609297711,-0.0362838726277156
19,19,2021-12-27,15.11,15.49,14.85,15.39,15.39,19826700,14.85,15.68,11.36,9.45,-0.0350877192982457,-0.0082226438962682,-0.09697933227345,-0.0327533265097236,2583.0,-0.0431766715882661,-0.0103451830957196,-0.1140838331588755,-0.0181983365627022
20,20,2021-12-28,15.28,15.49,14.67,14.85,14.85,24049700,14.47,15.05,11.1,9.33,-0.0255892255892254,-0.0401785714285714,-0.0228873239436619,-0.0126984126984126,2584.0,-0.0209793233280924,-0.0393421496518027,0.0514059325989927,0.0014463261881083
21,21,2021-12-29,14.831,14.833,14.18,14.47,14.47,20899600,15.95,14.1,12.48,9.77,0.1022805805114028,-0.0631229235880399,0.1243243243243243,0.0471596998928187,2585.0,0.0465667261067215,-0.0663429555116114,0.0912384231376824,0.0222345761732284
22,22,2021-12-30,14.505,16.35,14.5,15.95,15.95,41348700,15.81,13.78,13.27,9.12,-0.0087774294670845,-0.0226950354609929,0.0633012820512819,-0.0665301944728762,2586.0,-0.0182367099453013,-0.0137728180971353,0.0457123847172433,-0.056582134363385
23,23,2021-12-31,15.925,16.49,15.74,15.81,15.81,30798200,15.68,13.74,12.16,8.75,-0.0082226438962682,-0.0029027576197386,-0.0836473247927656,-0.0405701754385964,2587.0,-0.0103451830957196,-0.0080256393826729,-0.077203625317232,-0.0459409638556561
24,24,2022-01-03,16.1,16.129999,15.45,15.68,15.68,27500900,15.05,13.37,11.57,8.12,-0.0401785714285714,-0.0269286754002912,-0.0485197368421052,-0.072,2590.0,-0.0393421496518027,-0.0250206547443161,-0.0505865740140668,-0.0318539731818839
25,25,2022-01-04,15.61,15.861,14.59,15.05,15.05,34175900,14.1,13.94,11.89,7.87,-0.0631229235880399,0.0426327599102469,0.0276577355229041,-0.0307881773399013,2591.0,-0.0663429555116114,0.0526784594106917,0.0286224559880692,-0.0223609855729011
