,Date,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,AFRM_adj_1_change,AFRM_adj_7_change,AFRM_adj_30_change,AFRM_adj_90_change
0,2021-01-13,90.900002,103.0,90.010002,96.364998,96.364998,25159000,114.940002,108.970001,119.150002,65.0,,,,,,,,
1,2021-01-14,103.5,137.979996,101.0,114.940002,114.940002,20858700,117.0,119.949997,112.529999,67.550003,0.0179223765804352,0.1007616398939006,-0.055560242458074,0.0392308153846154,0.0179223765804352,0.1007616398939006,-0.055560242458074,0.0392308153846154
2,2021-01-15,123.054001,127.239998,107.0,117.0,117.0,8310700,110.989998,112.699997,105.550003,68.620003,-0.0513675384615384,-0.0604418522828308,-0.0620278686752676,0.0158401177273077,-0.0513675384615384,-0.0604418522828308,-0.0620278686752676,0.0158401177273077
3,2021-01-19,117.0,117.675003,108.0,110.989998,110.989998,3304900,106.209999,110.080002,105.989998,74.120003,-0.0430669347340649,-0.0232475161467839,0.0041685929653645,0.0801515558080054,-0.0430669347340649,-0.0232475161467839,0.0041685929653645,0.0801515558080054
4,2021-01-20,110.0,112.0,103.25,106.209999,106.209999,5091400,108.970001,105.290001,104.830002,77.970001,0.0259862727237196,-0.0435138164332518,-0.0109443911867986,0.0519427663811615,0.0259862727237196,-0.0435138164332518,-0.0109443911867986,0.0519427663811615
5,2021-01-21,107.160004,109.900002,104.300003,108.970001,108.970001,1735300,119.949997,99.419998,102.010002,76.370003,0.1007616398939006,-0.0557508115134313,-0.026900695852319,-0.0205206871807016,0.1007616398939006,-0.0557508115134313,-0.026900695852319,-0.0205206871807016
6,2021-01-22,107.190002,121.0,107.190002,119.949997,119.949997,4343500,112.699997,99.589996,102.489998,77.209999,-0.0604418522828308,0.0017098974393461,0.0047053817330577,0.0109990306010594,-0.0604418522828308,0.0017098974393461,0.0047053817330577,0.0109990306010594
7,2021-01-25,117.110001,123.448997,108.0,112.699997,112.699997,2660000,110.080002,107.610001,94.195,74.019997,-0.0232475161467839,0.0805302271525345,-0.0809347074043265,-0.0413159181623612,-0.0232475161467839,0.0805302271525345,-0.0809347074043265,-0.0413159181623612
8,2021-01-26,113.839996,114.0,109.510002,110.080002,110.080002,1287400,105.290001,113.0,93.059998,70.5,-0.0435138164332518,0.0500882719999231,-0.0120494930728807,-0.0475546763396924,-0.0435138164332518,0.0500882719999231,-0.0120494930728807,-0.0475546763396924
9,2021-01-27,105.739998,108.900002,100.800003,105.290001,105.290001,2259300,99.419998,110.949997,91.440002,66.779999,-0.0557508115134313,-0.0181416194690265,-0.0174080811822066,-0.0527659716312056,-0.0557508115134313,-0.0181416194690265,-0.0174080811822066,-0.0527659716312056
10,2021-01-28,105.0,106.290001,97.205002,99.419998,99.419998,2097400,99.589996,108.769997,91.800003,62.169998,0.0017098974393461,-0.0196484908422304,0.003937018724037,-0.0690326605126184,0.0017098974393461,-0.0196484908422304,0.003937018724037,-0.0690326605126184
11,2021-01-29,100.0,104.584,97.599998,99.589996,99.589996,1836300,107.610001,103.449997,86.309998,57.599998,0.0805302271525345,-0.0489105465361004,-0.0598039740804802,-0.073508125253599,0.0805302271525345,-0.0489105465361004,-0.0598039740804802,-0.073508125253599
12,2021-02-01,100.0,107.650002,99.624001,107.610001,107.610001,1266000,113.0,122.760002,84.459999,54.439999,0.0500882719999231,0.1866602760752134,-0.0214343534105978,-0.0548610956548991,0.0500882719999231,0.1866602760752134,-0.0214343534105978,-0.0548610956548991
13,2021-02-02,110.0,118.800003,110.0,113.0,113.0,1875600,110.949997,131.0,81.139999,54.0,-0.0181416194690265,0.0671228239308761,-0.0393085488907002,-0.0080822742116508,-0.0181416194690265,0.0671228239308761,-0.0393085488907002,-0.0080822742116508
14,2021-02-03,115.950996,115.989998,109.099998,110.949997,110.949997,1451700,108.769997,136.229996,74.309998,57.0,-0.0196484908422304,0.0399236335877861,-0.084175512499082,0.0555555555555555,-0.0196484908422304,0.0399236335877861,-0.084175512499082,0.0555555555555555
15,2021-02-04,110.059998,110.5,106.379997,108.769997,108.769997,1692700,103.449997,139.990005,79.660004,55.450001,-0.0489105465361004,0.0276004485825573,0.0719957763960645,-0.0271929649122807,-0.0489105465361004,0.0276004485825573,0.0719957763960645,-0.0271929649122807
16,2021-02-05,108.830002,109.413002,101.25,103.449997,103.449997,2932300,122.760002,125.889999,80.760002,49.82,0.1866602760752134,-0.1007215193684719,0.0138086611193239,-0.1015329287370075,0.1866602760752134,-0.1007215193684719,0.0138086611193239,-0.1015329287370075
17,2021-02-08,109.459999,123.5,109.0,122.760002,122.760002,3417400,131.0,119.150002,81.25,48.369999,0.0671228239308761,-0.0535387803124853,0.0060673351642561,-0.0291047972701726,0.0671228239308761,-0.0535387803124853,0.0060673351642561,-0.0291047972701726
