Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume
2021-12-01 00:00:00,UPSP2110,21.0381,0.0,0.0,0.0,34584.0,0.0,21.0381,0.0,206.289993,209.029999,176.003998,179.649994,179.649994,6290500.0
2022-01-01 00:00:00,UPSP2110,21.0514,0.0,0.01,0.62,34324.0,0.01,21.0514,1.8063162801538282e-05,153.229996,156.899994,151.070007,151.300003,151.300003,2545000.0
2022-02-01 00:00:00,UPSP2110,21.0665,0.01,0.17,1.93,34050.0,0.09,21.0565,5.66813509544787e-05,111.300003,120.748001,106.400002,117.330002,117.330002,11497000.0
2022-03-01 00:00:00,UPSP2110,21.0832,0.06,0.51,3.55,33701.0,0.23,21.023200000000003,0.00010533812053054805,160.0,161.0,144.130005,145.399994,145.399994,12414200.0
2022-04-01 00:00:00,UPSP2110,21.074,0.52,5.87,4.82,33017.0,1.73,20.554000000000002,0.00014598540145985403,109.260002,111.989998,105.559998,109.029999,109.029999,8758800.0
2022-05-01 00:00:00,UPSP2110,21.0246,1.4,11.64,5.48,32055.0,4.1,19.6246,0.00017095616908438622,73.139999,83.620003,72.449997,83.599998,83.599998,7461300.0
2022-06-01 00:00:00,UPSP2110,20.977,2.46,14.55,6.29,31123.0,6.06,18.517,0.0002021013398451306,52.139999,54.150002,45.25,45.959999,45.959999,10214000.0
2022-07-01 00:00:00,UPSP2110,20.9276,3.89,20.29,6.44,30020.0,8.33,17.0376,0.00021452365089940042,32.060001,33.369999,31.27,32.82,32.82,4344600.0
2022-08-01 00:00:00,UPSP2110,20.8754,5.01,16.6,7.28,29148.0,9.64,15.8654,0.00024975984630163305,24.030001,24.57,23.17,23.940001,23.940001,5652100.0
2022-09-01 00:00:00,UPSP2110,20.8136,6.42,21.9,7.53,28091.0,11.2,14.393600000000001,0.0002680573849275569,25.219999,26.07,24.25,25.950001,25.950001,6069500.0
