Date,1mo CPR,Gross Coupon,Accum Net Loss%,Annualized Net Loss Rate,Delinq 30+,Number of Assets,Life CDR,Open,High,Low,Close,Adj_Close,Volume
2022-01-01 00:00:00,UPSP22P1,20.7449,0.0,0.0,0.0,7688.0,0.0,153.229996,156.899994,151.070007,151.300003,151.300003,2545000.0
2022-02-01 00:00:00,UPSP22P1,20.76,0.0,0.0,0.11,7688.0,0.0,111.300003,120.748001,106.400002,117.330002,117.330002,11497000.0
2022-03-01 00:00:00,UPSP22P1,20.77,0.01,0.08,0.98,7688.0,0.04,160.0,161.0,144.130005,145.399994,145.399994,12414200.0
2022-04-01 00:00:00,UPSP22P1,20.79,0.02,0.19,2.56,7688.0,0.09,109.260002,111.989998,105.559998,109.029999,109.029999,8758800.0
2022-05-01 00:00:00,UPSP22P1,20.81,0.04,0.18,3.8,7688.0,0.11,73.139999,83.620003,72.449997,83.599998,83.599998,7461300.0
2022-06-01 00:00:00,UPSP22P1,20.82,0.67,8.24,5.36,7688.0,1.96,52.139999,54.150002,45.25,45.959999,45.959999,10214000.0
2022-07-01 00:00:00,UPSP22P1,20.78,1.68,13.58,5.76,7688.0,4.23,32.060001,33.369999,31.27,32.82,32.82,4344600.0
2022-08-01 00:00:00,UPSP22P1,20.7,2.89,17.02,6.75,7688.0,6.31,24.030001,24.57,23.17,23.940001,23.940001,5652100.0
2022-09-01 00:00:00,UPSP22P1,20.6,4.55,24.18,6.66,7688.0,8.83,25.219999,26.07,24.25,25.950001,25.950001,6069500.0
