,Graph,"Sep 25, 2022","Aug 25, 2022","Jul 25, 2022","Jun 25, 2022","May 25, 2022","Apr 25, 2022","Mar 25, 2022","Feb 25, 2022","Jan 25, 2022","Dec 25, 2021","Nov 25, 2021","Oct 25, 2021","Sep 25, 2021","Aug 25, 2021","Jul 25, 2021","Jun 25, 2021","May 25, 2021","Apr 25, 2021","Mar 25, 2021","Feb 25, 2021","Jan 25, 2021","Dec 25, 2020","Nov 25, 2020","Oct 25, 2020","Sep 25, 2020","Aug 25, 2020","Jul 25, 2020","Jun 25, 2020","May 25, 2020","Apr 25, 2020","Mar 25, 2020","Feb 01, 2020"
3mo CPR,,37.45,37.08,37.89,38.80,40.33,39.50,38.63,35.91,36.30,36.35,40.08,40.62,39.31,37.71,35.10,34.78,32.22,30.66,27.46,26.07,24.43,24.44,24.58,26.10,27.13,25.83,22.61,19.72,20.25,-,-,-
6mo CPR,,38.12,38.80,38.67,38.55,37.95,37.75,37.38,37.98,38.52,37.82,38.88,37.82,36.90,34.80,32.69,31.05,29.05,27.44,25.84,25.20,25.19,25.73,25.16,24.31,23.46,23.27,-,-,-,-,-,-
12mo CPR,,37.46,38.06,38.35,38.00,38.30,37.68,36.96,36.19,35.36,34.19,33.77,32.43,31.25,29.83,28.77,28.21,26.93,25.73,24.50,24.21,-,-,-,-,-,-,-,-,-,-,-,-
Life CPR,,31.47,31.46,31.25,31.10,31.11,30.75,30.40,30.08,29.71,29.32,29.34,28.86,28.40,27.68,26.86,26.45,25.79,25.23,24.62,24.21,23.79,23.83,23.70,23.65,23.59,23.27,22.07,20.60,20.25,20.73,23.52,-
1mo CRR,,32.93,35.20,35.73,31.21,39.44,40.10,35.42,37.65,36.14,26.48,37.75,37.14,39.00,39.77,32.61,34.05,31.79,30.56,25.94,27.13,21.80,22.40,21.36,22.34,23.82,27.02,25.85,21.05,19.02,18.50,23.52,-
3mo CRR,,34.23,34.03,35.66,37.12,38.32,37.65,36.25,33.50,33.64,34.06,37.97,38.63,37.17,35.48,32.71,31.94,29.28,27.76,24.86,23.72,21.75,21.95,22.42,24.38,25.54,24.63,21.98,19.50,20.20,-,-,-
6mo CRR,,35.69,36.28,36.62,36.51,35.74,35.49,35.04,35.72,36.20,35.61,36.71,35.64,34.41,32.22,30.04,28.32,26.38,24.64,23.29,22.94,22.99,23.70,23.48,23.12,22.53,22.62,-,-,-,-,-,-
12mo CRR,,35.06,35.66,36.16,35.87,36.11,35.46,34.54,33.76,32.87,31.72,31.36,29.93,28.72,27.39,26.32,25.81,24.74,23.72,22.75,22.75,-,-,-,-,-,-,-,-,-,-,-,-
Life CRR,,29.33,29.34,29.22,29.09,29.11,28.75,28.35,28.08,27.70,27.33,27.41,26.96,26.47,25.80,24.99,24.57,24.00,23.49,23.00,22.75,22.40,22.52,22.55,22.74,22.79,22.62,21.67,20.43,20.20,20.68,23.52,-
1mo CDR,,3.97,6.45,3.75,3.17,3.12,1.41,4.83,2.33,3.65,4.53,3.43,2.05,4.33,2.95,2.55,4.48,3.27,4.35,4.51,2.87,2.75,3.42,3.88,2.09,2.19,2.39,1.67,0.62,0.07,0.12,0.00,-
