,Graph,"Sep 25, 2022","Aug 25, 2022","Jul 25, 2022","Jun 25, 2022","May 25, 2022","Apr 25, 2022","Mar 25, 2022","Feb 25, 2022","Jan 25, 2022","Dec 25, 2021","Nov 25, 2021","Oct 25, 2021","Sep 25, 2021","Aug 25, 2021","Jul 25, 2021","Jun 25, 2021","May 25, 2021","Apr 25, 2021","Mar 25, 2021","Feb 25, 2021","Jan 25, 2021","Dec 25, 2020","Nov 25, 2020","Oct 25, 2020","Sep 25, 2020","Aug 25, 2020","Jul 25, 2020","Jun 25, 2020","May 25, 2020","Apr 25, 2020","Mar 25, 2020","Feb 01, 2020"
Original Balance,,"21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00"
Current Balance,,"611,654.83","4,822,929.74","9,827,893.03","15,155,029.61","20,420,852.38","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00","21,200,000.00"
Factor,,0.0289,0.2275,0.4636,0.7149,0.9632,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500
Reported Coupon,,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,2.2500,-
Natural Credit Support,,102.14,95.30,88.39,82.18,76.93,71.53,66.73,62.51,58.67,55.21,52.46,49.40,46.65,44.00,41.58,39.64,37.75,36.09,34.57,33.26,32.06,31.05,30.08,29.19,28.35,27.53,26.70,25.95,24.63,23.05,21.57,20.37
Credit Support (%),,102.14,95.30,88.39,82.18,76.93,71.53,66.73,62.51,58.67,55.21,52.46,49.40,46.65,44.00,41.58,39.64,37.75,36.09,34.57,33.26,32.06,31.05,30.08,29.19,28.35,27.53,26.70,25.95,24.63,23.05,21.57,20.37
Credit Support,,"59,585,389.67","60,079,449.86","60,666,624.32","61,291,595.65","61,909,373.74","62,657,733.99","63,442,623.65","64,252,885.62","65,112,813.36","66,015,544.56","66,837,256.51","67,890,921.68","68,986,887.33","70,215,967.07","71,518,090.54","72,720,590.08","74,058,311.51","75,392,775.78","76,776,305.69","78,121,939.25","79,498,938.54","80,770,309.04","82,126,523.40","83,499,931.53","84,912,197.59","86,417,340.42","88,100,835.46","89,789,432.99","88,753,659.62","86,257,123.72","83,715,162.51","81,460,068.82"
Reported Principal Payment,,"4,211,274.91","5,004,963.29","5,327,136.58","5,265,822.77","779,147.62",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
Reported Interest Payment,,"9,042.99","18,427.30","28,415.68","38,289.10","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","39,750.00","45,050.00",-
Accum Writedown,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,,-/AAA/AAA,-/AAA/AA+,-/AAA/AA+,-/AAA/AA+,-/AAA/AA+,-/AAA/AA+,-/AAA/AA+,-/AAA/AA+,-/AAA/AA+,-/AAA/AA+,-/AAA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/AA/AA+,-/-/-
Ratings Order,,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA
Original Balance,,"33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00"
Current Balance,,"33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00","33,200,000.00"
Factor,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000
Reported Coupon,,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,2.5000,-
Natural Credit Support,,45.23,42.64,40.02,37.66,35.68,33.63,31.81,30.21,28.76,27.44,26.40,25.24,24.20,23.20,22.28,21.54,20.83,20.20,19.62,19.13,18.67,18.29,17.92,17.58,17.26,16.95,16.64,16.36,15.42,14.18,13.02,12.07
Credit Support (%),,45.23,42.64,40.02,37.66,35.68,33.63,31.81,30.21,28.76,27.44,26.40,25.24,24.20,23.20,22.28,21.54,20.83,20.20,19.62,19.13,18.67,18.29,17.92,17.58,17.26,16.95,16.64,16.36,15.42,14.18,13.02,12.07
Credit Support,,"26,385,389.67","26,879,449.86","27,466,624.32","28,091,595.65","28,709,373.74","29,457,733.99","30,242,623.65","31,052,885.62","31,912,813.36","32,815,544.56","33,637,256.51","34,690,921.68","35,786,887.33","37,015,967.07","38,318,090.54","39,520,590.08","40,858,311.51","42,192,775.78","43,576,305.69","44,921,939.25","46,298,938.54","47,570,309.04","48,926,523.40","50,299,931.53","51,712,197.59","53,217,340.42","54,900,835.46","56,589,432.99","55,553,659.62","53,057,123.72","50,515,162.51","48,260,068.82"
Reported Principal Payment,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
Reported Interest Payment,,"69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","69,166.67","78,388.89",-
Accum Writedown,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,,-/AAA/AA+,-/AAA/A+,-/AA/A+,-/AA/A+,-/AA/A+,-/AA/A+,-/AA/A+,-/AA/A+,-/AA/A+,-/AA/A+,-/AA/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/A/A+,-/-/-
Ratings Order,,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA
Original Balance,,"18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00"
Current Balance,,"18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00","18,400,000.00"
Factor,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400
Reported Coupon,,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,2.9400,-
Natural Credit Support,,13.69,13.45,13.21,12.99,12.81,12.62,12.46,12.31,12.18,12.06,11.96,11.85,11.76,11.67,11.58,11.51,11.45,11.39,11.34,11.29,11.25,11.22,11.18,11.15,11.12,11.09,11.06,11.04,10.31,9.26,8.28,7.47
Credit Support (%),,13.69,13.45,13.21,12.99,12.81,12.62,12.46,12.31,12.18,12.06,11.96,11.85,11.76,11.67,11.58,11.51,11.45,11.39,11.34,11.29,11.25,11.22,11.18,11.15,11.12,11.09,11.06,11.04,10.31,9.26,8.28,7.47
Credit Support,,"7,985,389.67","8,479,449.86","9,066,624.32","9,691,595.65","10,309,373.74","11,057,733.99","11,842,623.65","12,652,885.62","13,512,813.36","14,415,544.56","15,237,256.51","16,290,921.68","17,386,887.33","18,615,967.07","19,918,090.54","21,120,590.08","22,458,311.51","23,792,775.78","25,176,305.69","26,521,939.25","27,898,938.54","29,170,309.04","30,526,523.40","31,899,931.53","33,312,197.59","34,817,340.42","36,500,835.46","38,189,432.99","37,153,659.62","34,657,123.72","32,115,162.51","29,860,068.82"
Reported Principal Payment,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
Reported Interest Payment,,"45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","45,080.00","51,090.67",-
Accum Writedown,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/BBB/BBB+,-/-/-
Ratings Order,,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA
Original Balance,,"950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00"
Current Balance,,"950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00","950,000.00"
Factor,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Reported Coupon,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-
Reported Principal Payment,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
Reported Interest Payment,,"717,875.25","793,585.11","971,091.76","980,779.60","1,136,538.11","1,343,514.93","1,095,932.20","1,431,089.48","1,375,164.45","1,280,337.30","1,647,537.13","1,949,143.85","1,801,559.31","2,136,320.57","2,129,905.63","2,002,109.07","2,289,969.01","2,130,707.10","2,057,666.89","2,564,960.07","2,521,028.03","2,470,096.50","2,431,422.64","2,957,803.28","3,172,064.67","3,291,990.98","3,519,398.47","871,950.62",0.00,0.00,0.00,-
Accum Writedown,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-
Ratings Order,,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA
Original Balance,,"50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00"
Current Balance,,"50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00","50,000.00"
Factor,,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Reported Coupon,,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-
Reported Principal Payment,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
Reported Interest Payment,,"37,782.91","41,767.64","51,110.09","51,619.98","59,817.80","70,711.31","57,680.64","75,320.50","72,377.08","67,386.17","86,712.48","102,586.52","94,818.91","112,437.92","112,100.30","105,374.16","120,524.68","112,142.48","108,298.26","134,997.90","132,685.69","130,005.08","127,969.61","155,673.86","166,950.77","173,262.68","185,231.50","45,892.14",0.00,0.00,0.00,-
Accum Writedown,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-,-/-/-
Ratings Order,,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA,S&P/DBRS/KBRA
Pass/Fail,,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Actual Value (%),,2.943,2.893,2.830,2.794,2.750,2.702,2.692,2.602,2.560,2.474,2.373,2.285,2.250,2.116,2.036,1.955,1.783,1.662,1.481,1.272,1.135,1.003,0.824,0.595,0.471,0.341,0.183,0.062,0.015,0.009,0.000,0.000
Limit Value (%),,8.250,8.000,7.500,7.250,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,7.000,6.000,6.000,6.000,5.000,5.000,5.000,4.000,4.000,4.000,3.000,3.000,3.000,3.000
