Name,"Sep 15, 2022","Aug 15, 2022","Jul 15, 2022","Jun 15, 2022","May 15, 2022","Apr 15, 2022","Mar 15, 2022","Feb 15, 2022","Jan 15, 2022","Dec 15, 2021","Nov 15, 2021","Oct 15, 2021","Sep 15, 2021","Aug 15, 2021","Jul 15, 2021","Jun 15, 2021","May 15, 2021","Apr 15, 2021","Mar 15, 2021","Feb 15, 2021","Jan 15, 2021","Dec 15, 2020","Nov 15, 2020","Oct 15, 2020","Sep 15, 2020","Jul 01, 2020"
WALA,11.730000000,12.670000000,13.620000000,14.510000000,15.300000000,16.050000000,16.790000000,17.520000000,18.270000000,19.020000000,19.780000000,20.560000000,21.350000000,22.150000000,22.950000000,23.700000000,24.380000000,25.010000000,25.600000000,26.230000000,26.830000000,27.430000000,28.030000000,28.660000000,29.870000000,3.264556351
Accum,0.31,0.29,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.20,0.18,0.17,0.15,0.14,0.12,0.12,0.10,0.09,0.08,0.06,0.03,0.01,0.00,0.00,-
