Date,UPST_adj_1_change_pred,SOFI_adj_1_change_pred,OPRT_adj_1_change_pred,LC_adj_1_change_pred,AFRM_adj_1_change_pred,AFRM_adj_1_change,LC_adj_1_change,OPRT_adj_1_change,SOFI_adj_1_change,UPST_adj_1_change,benchmark_avg_adj_1_change
2021-11-30,,,,,,-0.0798073886959268,-0.0583741424702279,-0.0358639047910529,-0.0470931367969107,-0.1231880771301091,-0.0688653299768455
2021-12-01,-0.0158302735061608,,,0.0071092518834569,,-0.0241914729347172,0.0191496598230982,0.0371979692174895,0.0024405736693455,-0.0147508716309781,0.0039691716288476
2021-12-02,,,,,,-0.0572307868131868,-0.0687898089171974,-0.0381927824030174,-0.0754716981132075,-0.0305649943502823,-0.0540500141193783
2021-12-03,,,,,,0.0345952915814116,-0.0023939808481531,0.0387409685230024,0.0348913759052009,0.0266333009297345,0.0264933912182393
2021-12-06,,,,,,0.1061740091800091,0.0771340418237915,0.0447551960487087,0.057251972010178,0.1005903757813266,0.0771811189688028
2021-12-07,,,,,,0.0426953301712214,0.009548026734564,0.0098170013386882,0.0192539097921835,0.0025272848533297,0.0167683105779973
2021-12-08,,,-0.0296646261637505,,,-0.0690787210355651,-0.0409835763235679,-0.0349093696380632,-0.075560857404908,-0.0759890383286782,-0.0593043125461565
2021-12-09,,,,,,-0.0373541266856575,-0.0384615384615385,-0.0256409798534799,-0.041507024265645,-0.1049554864714202,-0.0495838311475482
2021-12-10,,,,,,-0.0411580136030694,-0.0823931623931624,-0.0413534285078276,-0.0286475682878081,-0.0602799502332814,-0.0507664246050298
2021-12-13,,,,,,-0.0381047839041903,-0.0242175484351714,-0.0161764705882352,-0.0068587105624142,-0.040447511458328,-0.0251610049896678
2021-12-14,,,,,,0.0492578817034474,0.0271095445929918,0.0174389636273044,0.0469613259668508,0.0640220710042511,0.0409579573789691
2021-12-15,,,-0.03725464097037,,-0.0542447366579251,-0.1057848682883888,-0.1126393680297398,-0.0470127815866797,-0.0587071240105541,-0.0881151355278515,-0.0824518554886428
2021-12-16,,,,,,-0.0047360037230149,-0.0079598237134551,0.0493320169235365,0.0266292922214437,-0.0103811576392288,0.0105768648138562
