Date,1mo CPR,Gross Coupon,Accum Net Loss%,Annualized Net Loss Rate,Delinq 30+,Number of Assets,Life CDR,Life CPR,Open,High,Low,Close,Adj Close,Volume,adj_1,adj_7,adj_30,adj_90,adj_1_change,adj_7_change,adj_30_change,adj_90_change,avg_adj_1_change,avg_adj_7_change,avg_adj_30_change,avg_adj_90_change,d1_Vol,d7_Vol,d30_Vol,d90_Vol,d1_BenchVol,d7_BenchVol,d30_BenchVol,d90_BenchVol,d1_ExcessVol,d7_ExcessVol,d30_ExcessVol,d90_ExcessVol
2022-04-01 00:00:00,LCR201,9.6858,2.94,2.96,1.72,2895.0,2.89,25.25,15.91,16.09,15.53,15.65,15.65,1542800,15.85,14.26,16.370001,12.66,0.0127795527156548,-0.0888178913738019,0.0460064536741213,-0.1910543130990415,0.0222345761732284,-0.0223609855729011,0.0734791922318692,-0.0500758302123839,0.0001633169676122,0.0078886178280884,0.002116593779669,0.0365017505537465,0.000494376377603,0.0005000136757914,0.0053991916910479,0.0025075887714595,-0.0003310594099908,0.0073886041522969,-0.0032825979113789,0.033994161782287
2022-05-01 00:00:00,LCR201,9.7093,3.02,4.94,1.23,2760.0,3.02,25.39,15.15,15.73,14.92,15.7,15.7,1915900,15.66,13.9,16.1,14.89,-0.0025477707006369,-0.1146496815286624,0.0254777070063696,-0.0515923566878979,0.0059428723812175,-0.0941547500674227,0.0636076403219795,0.0072715602001104,6.491135543024055e-06,0.0131445494746237,0.0006491135543024,0.0026617712686112,3.531773213943776e-05,0.0088651169602588,0.0040459319073303,5.28755877438296e-05,-2.8826596596413705e-05,0.0042794325143648,-0.0033968183530278,0.0026088956808674
2022-06-01 00:00:00,LCR201,9.7389,3.11,5.85,0.98,2617.0,3.15,26.09,15.7,16.17,15.11,15.39,15.39,1603400,16.1,15.89,12.22,12.59,0.046133853151397,0.0324886289798571,-0.2059779077322936,-0.1819363222871994,0.0636076403219795,-0.038372623720716,0.0798194745100795,-0.0061668022873985,0.0021283324065946,0.0010555110129908,0.0424268984737732,0.0331008253673917,0.0040459319073303,0.0014724582512116,0.0063711485110652,3.802945045186337e-05,-0.0019175995007356,-0.0004169472382208,0.036055749962708,0.0330627959169398
2022-07-01 00:00:00,LCR201,9.7914,3.15,2.66,0.85,2513.0,3.19,26.04,11.6,11.95,11.427,11.83,11.83,1535300,12.22,12.29,14.9,12.15,0.032967032967033,0.0388841927303464,0.2595097210481827,0.0270498732037194,0.0798194745100795,-0.0423787273702309,0.1328994925327831,-0.0219339919385241,0.0010868252626494,0.0015119804442907,0.0673452953185056,0.0007316956403372,0.0063711485110652,0.0017959565335203,0.0176622751154712,0.0004811000023592,-0.0052843232484157,-0.0002839760892296,0.0496830202030343,0.000250595637978
2022-08-01 00:00:00,LCR201,9.8221,3.18,2.39,0.97,2403.0,3.22,25.72,13.7,14.14,13.62,13.92,13.92,1806100,13.7,15.01,13.07,9.82,-0.0158045977011495,0.0783045977011493,-0.0610632183908045,-0.2945402298850574,0.0257735490667325,0.0415629440100422,-0.0076946361467464,-0.0987036231048907,0.0002497853084951,0.0061316100211388,0.003728716640243,0.0867539470207424,0.0006642758314952,0.0017274783147819,5.9207425430816285e-05,0.0097424052140323,-0.000414490523,0.0044041317063569,0.0036695092148122,0.0770115418067101
2022-09-01 00:00:00,LCR201,9.8993,3.19,0.92,1.28,2277.0,3.21,25.79,13.02,13.02,12.44,12.92,12.92,1867800,12.7,13.9,12.09,9.56,-0.0170278637770898,0.0758513931888544,-0.0642414860681114,-0.2600619195046439,-0.0245993131075798,0.0675182376240054,0.0840638666074549,-0.028612399368472,0.0002899481448111,0.0057534338486901,0.0041269685322393,0.0676322019764399,0.0006051262053647,0.0045587124118516,0.0070667336689959,0.0008186693976209,-0.0003151780605536,0.0011947214368385,-0.0029397651367566,0.0668135325788189
