Date,Deal,Gross_Coupon,Accum_Net_Loss_precent,Annualized_Net_Loss_Rate,Delinq_30,Number_of_Assets,Life_CDR,Gross_Coupon_Accum_Net_Loss_precent,Num_Assets_in_Delinq_30_Days_Number_of_Assets,Open,High,Low,Close,Adj_Close,Volume,series
2019-10-08 00:00:00,OPF1319A,32.24,0.04,0.26,1.68,94639.0,0.25,32.2,1.775166686038525e-05,15.29,15.5,15.001,15.23,15.23,159300.0,1
2019-11-08 00:00:00,OPF1319A,32.16,0.11,0.87,2.59,95440.0,0.4,32.05,2.7137468566638724e-05,16.99,17.52,16.700001,17.16,17.16,92900.0,1
2020-01-08 00:00:00,OPF1319A,31.96,1.28,8.68,3.61,94006.0,2.58,30.68,3.8401804140161266e-05,23.690001,23.77,22.99,23.09,23.09,77000.0,1
2020-04-08 00:00:00,OPF1319A,31.63,3.68,10.18,3.61,89428.0,4.91,27.95,4.036767008095898e-05,8.22,8.22,7.2,7.54,7.54,186600.0,1
2020-05-08 00:00:00,OPF1319A,31.53,4.5,9.8,3.58,88197.0,5.39,27.03,4.0590949805548945e-05,6.5,7.13,6.5,7.05,7.05,246300.0,1
2020-06-08 00:00:00,OPF1319A,31.45,5.4,10.83,3.52,87812.0,5.88,26.049999999999997,4.0085637498291806e-05,13.56,15.49,13.56,15.15,15.15,280300.0,1
2020-07-08 00:00:00,OPF1319A,31.36,6.39,11.81,3.26,86965.0,6.37,24.97,3.7486345081354564e-05,12.71,13.09,12.71,13.0,13.0,77200.0,1
2020-09-08 00:00:00,OPF1319A,31.25,8.17,9.96,3.13,86876.0,7.0,23.08,3.6028362263455956e-05,12.41,13.42,12.32,13.26,13.26,115000.0,1
2020-10-08 00:00:00,OPF1319A,31.15,8.87,8.41,3.13,87017.0,7.11,22.28,3.596998287690911e-05,14.49,14.86,14.21,14.76,14.76,59500.0,1
2020-12-08 00:00:00,OPF1319A,30.99,10.3,7.79,3.09,86818.0,7.29,20.689999999999998,3.559169757423575e-05,17.719999,18.0,17.67,17.91,17.91,101700.0,1
2021-01-08 00:00:00,OPF1319A,30.92,11.08,9.39,3.21,86904.0,7.42,19.840000000000003,3.6937310135321737e-05,18.35,18.35,17.76,18.23,18.23,31900.0,1
2021-02-08 00:00:00,OPF1319A,30.88,11.79,8.49,2.97,87854.0,7.48,19.09,3.38060873722312e-05,17.02,17.76,17.014999,17.57,17.57,39900.0,1
2021-03-08 00:00:00,OPF1319A,30.85,12.34,6.6,2.73,88205.0,7.45,18.51,3.095062638172439e-05,18.99,19.940001,18.764999,19.58,19.58,79900.0,1
2021-04-08 00:00:00,OPF1319A,30.81,13.01,8.09,2.32,88814.0,7.52,17.799999999999997,2.6122007791564392e-05,21.139999,21.290001,19.92,21.26,21.26,65200.0,1
2021-06-08 00:00:00,OPF1319A,30.75,13.91,4.77,2.18,92012.0,7.4,16.84,2.3692561839760032e-05,20.879999,21.5,20.389999,20.799999,20.799999,135100.0,1
2021-07-08 00:00:00,OPF1319A,30.72,14.36,5.46,2.15,92961.0,7.34,16.36,2.3127978399543892e-05,19.629999,19.93,19.25,19.690001,19.690001,45000.0,1
2021-09-08 00:00:00,OPF1319A,30.68,15.23,5.84,2.52,94645.0,7.22,15.45,2.6625812245760475e-05,25.18,25.280001,24.58,24.799999,24.799999,39000.0,1
2021-10-08 00:00:00,OPF1319A,30.65,15.72,5.94,2.64,94541.0,7.19,14.929999999999998,2.792439259157403e-05,25.549999,25.940001,24.93,25.25,25.25,205800.0,1
2021-11-08 00:00:00,OPF1319A,30.64,16.32,7.16,3.0,93572.0,7.21,14.32,3.206087291069978e-05,25.58,26.99,24.969999,26.83,26.83,133200.0,1
2021-12-08 00:00:00,OPF1319A,30.63,16.82,5.99,3.28,92378.0,7.18,13.809999999999999,3.550628937625842e-05,22.299999,23.15,21.475,22.629999,22.629999,117400.0,1
2022-02-08 00:00:00,OPF1319A,30.55,18.4,10.0,3.88,88965.0,7.34,12.150000000000002,4.361265666273253e-05,16.969999,17.450001,16.799999,17.23,17.23,164000.0,1
2022-03-08 00:00:00,OPF1319A,30.52,19.09,8.33,3.96,86600.0,7.38,11.43,4.5727482678983836e-05,13.46,13.57,12.94,13.13,13.13,140900.0,1
2022-04-08 00:00:00,OPF1319A,30.51,19.58,5.83,3.8,84374.0,7.47,10.930000000000003,4.503757081565411e-05,13.82,14.34,13.65,14.07,14.07,97800.0,1
2022-06-08 00:00:00,OPF1319A,30.49,21.29,10.81,3.74,82294.0,7.64,9.2,4.54468126473376e-05,12.67,12.79,12.06,12.15,12.15,119000.0,1
2022-07-08 00:00:00,OPF1319A,30.5,21.93,7.73,3.88,81322.0,7.72,8.57,4.771156636580507e-05,8.88,9.0,8.65,8.81,8.81,150500.0,1
2022-08-08 00:00:00,OPF1319A,30.5,22.9,11.63,4.28,80791.0,7.82,7.600000000000001,5.297619784381924e-05,10.24,10.86,10.24,10.77,10.77,186300.0,1
