,Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D,CPN-A-change,CPN-B-change,CPN-C-change,CPN-D-change,PRICE-A-change,PRICE-B-change,PRICE-C-change,PRICE-D-change,SPRD-A-change,SPRD-B-change,SPRD-C-change,SPRD-D-change,SZE(M)-A-change,SZE(M)-B-change,SZE(M)-C-change,SZE(M)-D-change,WAL-A-change,WAL-B-change,WAL-C-change,WAL-D-change,YLD-A-change,YLD-B-change,YLD-C-change,YLD-D-change
10,2020-10-01,269.54200000000003,EDSF,-,USD,0.017,A,-,150a,A-,-,E,100.0,-,150.0,190.958,Fixed,1.15,0.0171,Swaps,-,USD,0.0301,BBB (L),-,300a,BBB-,-,E,99.9998,-,280.0,30.648,Fixed,2.71,0.030299999999999997,Swaps,-,USD,0.0625,NR,-,600-625,BB-,-,E,99.44462,-,625.0,47.936,Fixed,3.55,0.06509999999999999,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.006099999999999998,,,,0.00019000000000346517,99.9998,99.44462,0.0,-60.0,280.0,625.0,0.0,125.41799999999999,30.648,47.936,0.0,-0.5,2.71,3.55,0.0,-0.006099999999999998,,,
11,2020-10-30,94.5,YLD,32.50%,USD,0.03,-,-,-,E,-,E,100.0,-,0.0,94.5,Fixed,1.88,0.03,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.012999999999999998,,,,0.0,-99.9998,-99.44462,0.0,-150.0,-280.0,-625.0,0.0,-96.458,-30.648,-47.936,0.0,0.73,-2.71,-3.55,0.0,0.012899999999999998,,,
12,2020-11-20,84.062,YLD,33.25%,USD,0.0275,BBB (L),-,-,E,-,E,100.0,-,0.0,84.062,Fixed,1.89,0.0275,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0024999999999999988,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.438000000000002,0.0,0.0,0.0,0.010000000000000009,0.0,0.0,0.0,-0.0024999999999999988,,,
13,2021-01-22,108.0,YLD,33.00%,USD,0.025,BBB (L),-,-,E,-,E,100.0,-,0.0,108.0,Fixed,1.73,0.025,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0024999999999999988,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.938000000000002,0.0,0.0,0.0,-0.15999999999999992,0.0,0.0,0.0,-0.0024999999999999988,,,
14,2021-01-28,207.859,EDSF,-,USD,0.0087,A,-,80-90,A-,-,E,99.99486,-,70.0,142.827,Fixed,1.17,0.0088,Swaps,-,USD,0.0189,BBB (L),-,180-195,BBB-,-,E,99.985,-,165.0,28.93,Fixed,2.78,0.019,Swaps,-,USD,0.0406,NR,-,400a,BB-,-,E,99.98448,-,375.0,36.102,Fixed,3.66,0.040999999999999995,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.016300000000000002,,,,-0.005139999999997258,99.985,99.98448,0.0,70.0,165.0,375.0,0.0,34.827,28.93,36.102,0.0,-0.56,2.78,3.66,0.0,-0.0162,,,
15,2021-03-01,64.0,YLD,36.50%,USD,0.02,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,64.0,Fixed,1.73,0.02,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.011300000000000001,,,,0.005139999999997258,-99.985,-99.98448,0.0,-70.0,-165.0,-375.0,0.0,-78.827,-28.93,-36.102,0.0,0.56,-2.78,-3.66,0.0,0.0112,,,
16,2021-05-04,475.875,EDSF,-,USD,0.0091,A,-,70-75,A-,-,E,99.9972,-,70.0,344.136,Fixed,1.24,0.0091,Swaps,-,USD,0.0175,BBB (L),-,145-160,BBB-,-,E,99.98953,-,130.0,59.148,Fixed,2.99,0.0176,Swaps,-,USD,0.0361,NR,-,325-350,BB-,-,E,99.98343,-,300.0,72.591,Fixed,3.76,0.0364,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0109,,,,-0.0027999999999934744,99.98953,99.98343,0.0,70.0,130.0,300.0,0.0,280.136,59.148,72.591,0.0,-0.49,2.99,3.76,0.0,-0.0109,,,
17,2021-05-13,102.492,YLD,31.50%,USD,0.02,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,102.492,Fixed,1.82,0.02,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0109,,,,0.0027999999999934744,-99.98953,-99.98343,0.0,-70.0,-130.0,-300.0,0.0,-241.644,-59.148,-72.591,0.0,0.5800000000000001,-2.99,-3.76,0.0,0.0109,,,
18,2021-06-03,68.392,YLD,32.00%,USD,0.02,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,68.392,Fixed,1.76,0.02,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.10000000000001,0.0,0.0,0.0,-0.06000000000000005,0.0,0.0,0.0,0.0,,,
19,2021-07-08,82.152,YLD,34.00%,USD,0.018500000000000003,BBB (L),-,-,BBB-,-,E,100.0,-,0.0,82.152,Fixed,1.76,0.018500000000000003,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,,0.0,,-0.0014999999999999979,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.760000000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014999999999999979,,,
