Date,CLASS,CCY,SZE(M),WAL,MO,SP,FI,DR,KR,C/E,LTV,TYPE,BNCH,GDNC,SPRD,CPN,YLD,PRICE
"Feb 22, 2018",B,USD,33.335,3,-,-,-,-,BBB+,-,-,Fixed,Swaps,185-195,185,4.45%,4.50%,99.98365
"Feb 22, 2018",C,USD,11.111,3,-,-,-,-,BB,-,-,Fixed,Swaps,260-270,250,5.09%,5.15%,99.99152
"Oct 4, 2017",A,USD,155.55,2.99,-,-,-,-,A+,-,-,Fixed,Swaps,140-150,140,3.22%,3.25%,99.97384
"Oct 4, 2017",B,USD,33.34,2.99,-,-,-,-,BBB+,-,-,Fixed,Swaps,245a,245,4.26%,4.30%,99.99176
"Oct 4, 2017",C,USD,11.11,2.99,-,-,-,-,BB,-,-,Fixed,Swaps,360-375,350,5.29%,5.35%,99.99372
"Jun 1, 2017",A,USD,131.766,3,-,-,-,-,A,-,-,Fixed,Swaps,160-170,160,3.23%,3.26%,99.9854
"Jun 1, 2017",B,USD,28.235,3,-,-,-,-,BBB,-,-,Fixed,Swaps,250-275,235,3.97%,4.01%,99.9888
"Oct 14, 2016",A,USD,123.53,2.05,-,-,-,-,A,-,-,Fixed,Swaps,235a,221,3.28%,-,-
"Oct 14, 2016",B,USD,26.47,2.05,-,-,-,-,BBB,-,-,Fixed,Swaps,400a,378,4.85%,-,-
"Jun 22, 2016",A,USD,123.529,2,-,-,-,-,A,-,-,Fixed,Swaps,-,285,3.71%,3.72%,99.98954
"Jun 22, 2016",B,USD,26.471,2,-,-,-,-,BBB,-,-,Fixed,Swaps,-,435,5.18%,5.22%,99.98476
"Feb 12, 2016",A,USD,102.806,2.05,-,-,-,-,A,-,-,Fixed,YLD,4.50-75%,-,4.70%,4.75%,99.9921
"Feb 12, 2016",B,USD,22.03,2.05,-,-,-,-,BBB,-,-,Fixed,YLD,6.25-50%,-,6.41%,6.50%,99.9915
"Jul 8, 2015",A,USD,102.94,2.5,-,-,-,-,-,-,-,Fixed,-,-,-,3.00%,-,-
"Jul 8, 2015",B,USD,22.06,2.5,-,-,-,-,-,-,-,Fixed,-,-,-,5.00%,-,-
