Date,CLASS,CCY,SZE(M),WAL,MO,SP,FI,DR,KR,C/E,LTV,TYPE,BNCH,GDNC,SPRD,CPN,YLD,PRICE
"Sep 16, 2020",A,USD,65.54,1.65,-,-,-,-,BBB-,-,-,Fixed,EDSF,-,210,2.31%,2.32%,99.99981
"Feb 11, 2020",A,USD,259.639,1.17,-,-,-,A,A-,-,-,Fixed,EDSF,85a,80,2.32%,2.33%,99.99991
"Feb 11, 2020",B,USD,53.38,2.79,-,-,-,BBB (L),BBB-,-,-,Fixed,Swaps,180-190,170,3.09%,3.11%,99.9993
"Feb 11, 2020",C,USD,61.494,3.65,-,-,-,NR,BB-,-,-,Fixed,Swaps,365a,355,4.90%,4.95%,99.99916
"Feb 6, 2020",A,USD,110.107,1.78,-,-,-,-,BBB,31.50%,-,Fixed,YLD,-,-,3.50%,-,-
"Nov 22, 2019",A,USD,223.877,1.08,-,-,-,A,A-,-,-,Fixed,EDSF,95-100,100,2.68%,2.71%,99.99253
"Nov 22, 2019",B,USD,58.602,2.66,-,-,-,BBB (L),BBB-,-,-,Fixed,Swaps,230a,230,3.83%,3.88%,99.96145
"Nov 22, 2019",C,USD,63.965,3.57,-,-,-,NR,BB-,-,-,Fixed,Swaps,390a,390,5.38%,5.45%,99.96325
"Jul 31, 2019",A,USD,230.208,1.1,-,-,-,A (L),A-,-,-,Fixed,EDSF,90-95,87,2.90%,2.92%,99.99933
"Jul 31, 2019",B,USD,61.558,2.68,-,-,-,BBB (L),BBB-,-,-,Fixed,Swaps,185-195,195,3.73%,3.76%,99.99761
"Jul 31, 2019",C,USD,66.617,3.65,-,-,-,NR,BB-,-,-,Fixed,Swaps,300-310,305,4.78%,4.83%,99.99923
"Feb 21, 2019",A,USD,86.837,0.66,-,-,-,A,A-,-,-,Fixed,EDSF,-,85,3.45%,3.48%,99.99626
"Feb 21, 2019",B,USD,64.472,1.82,-,-,-,BBB,BBB-,-,-,Fixed,EDSF,-,160,4.19%,4.23%,99.99889
"Feb 21, 2019",C,USD,45.093,2.9,-,-,-,NR,BB-,-,-,Fixed,Swaps,-,260,5.13%,5.19%,99.9941
"Feb 21, 2019",D,USD,35.508,3.79,-,-,-,NR,B-,-,-,Fixed,Swaps,-,400,6.48%,6.57%,99.9955
"Aug 1, 2018",A,USD,81.929,0.73,-,-,-,-,A-,-,-,Fixed,EDSF,80a,77,3.33%,3.35%,99.99956
"Aug 1, 2018",B,USD,43.883,1.86,-,-,-,-,BBB-,-,-,Fixed,EDSF,165a,160,4.45%,4.49%,99.99835
"Aug 1, 2018",C,USD,37.733,2.83,-,-,-,-,BB-,-,-,Fixed,Swaps,270a,260,5.49%,5.56%,99.99975
"Aug 1, 2018",D,USD,24.078,3.73,-,-,-,-,B-,-,-,Fixed,Swaps,375a,365,6.55%,6.64%,99.99821
"Apr 5, 2018",A,USD,73.513,0.52,-,-,-,-,A-,-,-,Fixed,EDSF,75a,72,3.02%,3.03%,99.99964
"Apr 5, 2018",B,USD,58.408,1.44,-,-,-,-,BBB-,-,-,Fixed,EDSF,150a,140,3.89%,3.92%,99.99941
"Apr 5, 2018",C,USD,45.694,2.32,-,-,-,-,BB-,-,-,Fixed,Swaps,250a,240,5.00%,5.05%,99.9983
"Apr 5, 2018",D,USD,49.596,3.46,-,-,-,-,B-,-,-,Fixed,Swaps,350a,350,6.15%,6.23%,99.99721
"Nov 15, 2017",A,USD,91.531,0.67,-,-,-,-,A-,-,-,Fixed,EDSF,95-100,90,2.51%,2.52%,99.99968
"Nov 15, 2017",B,USD,40.668,2.05,-,-,-,-,BBB-,-,-,Fixed,Swaps,190-200,190,3.75%,3.78%,99.99983
"Nov 15, 2017",C,USD,42.86,3.35,-,-,-,-,BB-,-,-,Fixed,Swaps,365-375,365,5.59%,5.66%,99.99946
"Jun 14, 2017",A,USD,107.81,0.92,-,-,-,-,A-,-,-,Fixed,EDSF,130-140,125,2.64%,2.65%,99.99914
"Jun 14, 2017",B,USD,27.169,2.18,-,-,-,-,BBB-,-,-,Fixed,Swaps,230-240,225,3.80%,3.83%,99.99749
"Jun 14, 2017",C,USD,28.128,2.99,-,-,-,-,BB-,-,-,Fixed,Swaps,475-500,475,6.35%,6.43%,99.99896
