Date,CLASS,CCY,SZE(M),WAL,MO,SP,FI,DR,KR,C/E,LTV,TYPE,BNCH,GDNC,SPRD,CPN,YLD,PRICE
"Jan 30, 2018",A1,USD,418,0.99,-,AA,-,AA,AA+,-,-,Fixed,EDSF,50-55,50,2.55%,2.57%,99.99351
"Jan 30, 2018",A2,USD,187,2.84,-,AA,-,AA,AA+,-,-,Fixed,Swaps,50a,75,3.14%,3.17%,99.98248
"Jan 30, 2018",B,USD,106,4.28,-,A,-,A,A,-,-,Fixed,Swaps,120-130,115,3.65%,3.68%,99.98718
"Jan 30, 2018",C,USD,62.5,4.81,-,NR,-,BBB,BBB,-,-,Fixed,Swaps,155-165,145,3.97%,4.01%,99.97766
"Nov 7, 2017",A-1,USD,387.65,0.99,-,AA,-,AA,AA+,-,-,Fixed,EDSF,57-60,57,2.20%,2.25%,99.96151
"Nov 7, 2017",A-2,USD,215.4,3.06,-,AA,-,AA,AA+,-,-,Fixed,Swaps,90a,90,2.82%,2.84%,99.99869
"Nov 7, 2017",B,USD,92.3,4.7,-,A,-,A,A,-,-,Fixed,Swaps,150-160,150,3.52%,3.55%,99.99931
"Nov 7, 2017",C,USD,32,4.96,-,BBB,-,BBB,BBB,-,-,Fixed,Swaps,200-210,200,4.02%,4.06%,99.96788
"Sep 15, 2017",A-1,USD,287.2,0.98,-,AA,-,AA,AA+,-,-,Fixed,EDSF,55a,65,2.14%,2.15%,99.99575
"Sep 15, 2017",A-2,USD,173.8,3.21,-,AA,-,AA,AA+,-,-,Fixed,Swaps,95a,105,2.78%,2.80%,99.9883
"Sep 15, 2017",B,USD,66.12,4.79,-,A,-,A,A,-,-,Fixed,Swaps,170a,185,3.69%,3.72%,99.98474
"Jun 27, 2017",A,USD,443,1.88,-,AA,-,AA,AA,-,-,Fixed,EDSF,95-100,95,2.50%,2.52%,99.9819
"Jun 27, 2017",B,USD,56.5,4.94,-,A,-,A,A,-,-,Fixed,Swaps,170-180,175,3.59%,3.62%,99.99486
"May 11, 2017",A,USD,470,1.87,-,AA,-,-,AA,-,-,Fixed,EDSF,120-130,120,2.77%,2.79%,99.99998
"May 11, 2017",B,USD,60,4.98,-,A,-,-,NR,-,-,Fixed,Swaps,205-215,190,3.85%,3.89%,99.96874
"Feb 22, 2017",A,USD,307.154,1.85,-,-,-,A,A,-,-,Fixed,EDSF,-,185,3.28%,3.40%,99.83313
"Feb 22, 2017",B,USD,36.562,4.98,-,-,-,BBB,BBB+,-,-,Fixed,Swaps,-,285,4.73%,4.90%,99.47801
"Jan 20, 2017",A,USD,504,1.85,-,-,-,A,A,-,-,Fixed,EDSF,180,180,3.28%,3.31%,99.99146
"Jan 20, 2017",B,USD,60,4.91,-,-,-,BBB,BBB,-,-,Fixed,Swaps,275,275,4.73%,4.78%,99.98078
"Nov 16, 2016",A,USD,188.267,1.86,-,-,-,A,A+,-,-,Fixed,EDSF,-,205,3.06%,3.27%,99.65957
"Nov 16, 2016",B,USD,25.378,4.98,-,-,-,BBB,BBB+,-,-,Fixed,Swaps,-,330,4.55%,5.02%,98.17329
"Oct 6, 2016",A,USD,451.7,1.85,-,-,-,A,A,-,-,Fixed,EDSF,200a,200,3.05%,3.07%,99.99795
"Oct 6, 2016",B,USD,60.9,4.97,-,-,-,BBB,BBB,-,-,Fixed,Swaps,325a,325,4.49%,4.54%,99.96802
"Sep 9, 2016",A,USD,178.479,1.96,-,-,-,-,A,-,-,Fixed,EDSF,-,243,3.18%,3.48%,99.47934
"Sep 9, 2016",B,USD,7.809,5,-,-,-,-,BBB+,-,-,Fixed,Swaps,-,365,4.83%,4.89%,99.961
"Sep 9, 2016",C,USD,16.732,5.12,-,-,-,-,BBB-,-,-,Fixed,Swaps,-,475,5.92%,5.99%,99.99178
"Jul 27, 2016",A,USD,425.88,1.84,-,-,-,A,A,-,-,Fixed,EDSF,-,215,3.09%,3.12%,99.98433
"Jul 27, 2016",B,USD,54.67,4.87,-,-,-,BBB,BBB,-,-,Fixed,Swaps,-,365,4.77%,4.83%,99.96483
"Jun 21, 2016",A,USD,379.8,2.3,-,-,-,A,A,-,-,Fixed,Swaps,250a,237.5,3.26%,3.29%,99.98911
"Aug 21, 2015",A,USD,189.37,-,-,-,-,-,A,-,-,Fixed,-,-,-,-,-,-
