Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D
2021-03-01,64.0,YLD,36.50%,USD,2.00%,BBB (L),-,-,BBB-,-,-,100,-,-,64.0,Fixed,1.73,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-04,475.875,EDSF,-,USD,0.91%,A,-,70-75,A-,-,-,99.9972,-,70,344.136,Fixed,1.24,0.91%,Swaps,-,USD,1.75%,BBB (L),-,145-160,BBB-,-,-,99.98953,-,130,59.148,Fixed,2.99,1.76%,Swaps,-,USD,3.61%,NR,-,325-350,BB-,-,-,99.98343,-,300,72.591,Fixed,3.76,3.64%,,,,,,,,,,,,,,,,,
2021-05-13,102.492,YLD,31.50%,USD,2.00%,BBB (L),-,-,BBB-,-,-,100,-,-,102.492,Fixed,1.82,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-03,68.392,YLD,32.00%,USD,2.00%,BBB (L),-,-,BBB-,-,-,100,-,-,68.392,Fixed,1.76,2.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-08,82.152,YLD,34.00%,USD,1.85%,BBB (L),-,-,BBB-,-,-,100,-,-,82.152,Fixed,1.76,1.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-22,485.65,EDSF,-,USD,0.83%,A,-,70-75,A-,-,A3,99.99313,-,65,352.762,Fixed,1.24,0.84%,Swaps,-,USD,1.66%,BBB (L),-,120-130,BBB-,-,Baa3,99.97603,-,120,59.219,Fixed,2.99,1.67%,Swaps,-,USD,3.28%,NR,-,280-300,BB-,-,NR,99.99782,-,270,73.669,Fixed,3.72,3.30%,,,,,,,,,,,,,,,,,
2021-08-05,74.226,YLD,38.00%,USD,1.85%,BBB (L),-,-,BBB-,-,-,100,-,-,74.226,Fixed,1.76,1.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-09,80.398,YLD,33.00%,USD,1.75%,BBB (L),-,-,BBB,-,-,100,-,-,80.398,Fixed,1.75,1.75%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09-17,671.36,EDSF,-,USD,0.84%,A,-,70-75,A,-,A3,99.98767,-,65,498.355,Fixed,1.3,0.85%,Swaps,-,USD,1.84%,BBB (L),-,125-135,BBB-,-,NR,99.9843,-,120,108.151,Fixed,3.27,1.85%,Swaps,-,USD,3.19%,NR,-,250-270,BB,-,NR,99.97913,-,245,64.854,Fixed,3.82,3.22%,,,,,,,,,,,,,,,,,
2021-10-07,83.384,YLD,30.00%,USD,1.70%,-,-,-,BBB-,-,-,100,-,-,83.384,Fixed,1.81,1.70%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-17,521.503,EDSF,-,USD,1.31%,A,-,100a,A-,-,A3,99.78771,-,100,398.562,Fixed,1.32,1.48%,Swaps,-,USD,2.49%,BBB (L),-,175a,BBB-,-,NR,98.93941,-,175,66.779,Fixed,3.26,2.85%,Swaps,-,USD,4.15%,NR,-,300a,BB-,-,NR,99.96803,-,300,56.162,Fixed,3.81,4.20%,,,,,,,,,,,,,,,,,
2021-12-01,186.085,YLD,30.00%,USD,2.25%,-,-,-,BBB-,-,-,100,-,-,186.085,Fixed,1.84,2.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-20,86.166,YLD,30.00%,USD,2.60%,-,-,-,BBB-,-,-,100,-,-,86.166,Fixed,1.72,2.60%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-11,102.342,YLD,32.00%,USD,3.80%,-,-,-,BBB-,-,-,100,-,-,102.342,Fixed,1.71,3.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-29,435.47999999999996,EDSF,-,USD,3.12%,A,-,-,A-,-,A2,99.17325,-,150,320.628,Fixed,1.33,3.80%,Swaps,-,USD,4.48%,BBB,-,-,BBB-,-,Baa3,97.79301,-,260,55.159,Fixed,3.21,5.29%,Swaps,-,USD,5.71%,NR,-,-,BB-,-,NR,95.51438,-,450,59.693,Fixed,3.83,7.15%,,,,,,,,,,,,,,,,,
2022-04-08,83.384,YLD,30.00%,USD,4.30%,-,-,-,BBB-,-,-,100,-,-,83.384,Fixed,1.66,4.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-03,112.026,YLD,-,USD,4.25%,-,-,-,BBB-,-,-,99.14517,-,-,112.026,Fixed,1.57,4.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-26,545.21,I-Curve,-,USD,4.37%,-,-,265a,A-,-,A1,99.57982,-,280,365.638,Fixed,1.08,4.82%,I-Curve,-,USD,6.10%,-,-,400a,NR,-,A3,98.91529,-,400,72.738,Fixed,2.8,6.61%,YLD,-,USD,8.43%,-,-,550-570,NR,-,Ba3,99.47659,-,-,106.834,Fixed,3.71,8.75%,,,,,,,,,,,,,,,,,
2022-08-16,179.041,I-Curve,-,USD,5.98%,-,-,-,-,-,A3,99.99496,-,280,152.185,Fixed,1.61,6.06%,I-Curve,-,USD,8.68%,-,-,-,-,-,Ba2,99.97504,-,575,26.856,Fixed,3.86,8.85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-10-05,258.756,I-Curve,40.50%,USD,-,-,-,-,-,-,A2,99.81273,-,325,189.333,Fixed,0.84,7.36%,I-Curve,28.50%,USD,-,-,-,-,-,-,Baa2,-,-,-,37.867,Fixed,2.56,-,I-Curve,18.50%,USD,-,-,-,-,-,-,Ba3,-,-,-,31.556,Fixed,3.31,-,,,,,,,,,,,,,,,,,
