Date,Sum SZE(M),BNCH-A,C/E-A,CCY-A,CPN-A,DR-A,FI-A,GDNC-A,KR-A,LTV-A,MO-A,PRICE-A,SP-A,SPRD-A,SZE(M)-A,TYPE-A,WAL-A,YLD-A,BNCH-A-1,C/E-A-1,CCY-A-1,CPN-A-1,DR-A-1,FI-A-1,GDNC-A-1,KR-A-1,LTV-A-1,MO-A-1,PRICE-A-1,SP-A-1,SPRD-A-1,SZE(M)-A-1,TYPE-A-1,WAL-A-1,YLD-A-1,BNCH-A-2,C/E-A-2,CCY-A-2,CPN-A-2,DR-A-2,FI-A-2,GDNC-A-2,KR-A-2,LTV-A-2,MO-A-2,PRICE-A-2,SP-A-2,SPRD-A-2,SZE(M)-A-2,TYPE-A-2,WAL-A-2,YLD-A-2,BNCH-A1,C/E-A1,CCY-A1,CPN-A1,DR-A1,FI-A1,GDNC-A1,KR-A1,LTV-A1,MO-A1,PRICE-A1,SP-A1,SPRD-A1,SZE(M)-A1,TYPE-A1,WAL-A1,YLD-A1,BNCH-A2,C/E-A2,CCY-A2,CPN-A2,DR-A2,FI-A2,GDNC-A2,KR-A2,LTV-A2,MO-A2,PRICE-A2,SP-A2,SPRD-A2,SZE(M)-A2,TYPE-A2,WAL-A2,YLD-A2,BNCH-B,C/E-B,CCY-B,CPN-B,DR-B,FI-B,GDNC-B,KR-B,LTV-B,MO-B,PRICE-B,SP-B,SPRD-B,SZE(M)-B,TYPE-B,WAL-B,YLD-B,BNCH-C,C/E-C,CCY-C,CPN-C,DR-C,FI-C,GDNC-C,KR-C,LTV-C,MO-C,PRICE-C,SP-C,SPRD-C,SZE(M)-C,TYPE-C,WAL-C,YLD-C,BNCH-D,C/E-D,CCY-D,CPN-D,DR-D,FI-D,GDNC-D,KR-D,LTV-D,MO-D,PRICE-D,SP-D,SPRD-D,SZE(M)-D,TYPE-D,WAL-D,YLD-D,BNCH-PT-1,C/E-PT-1,CCY-PT-1,CPN-PT-1,DR-PT-1,FI-PT-1,GDNC-PT-1,KR-PT-1,LTV-PT-1,MO-PT-1,PRICE-PT-1,SP-PT-1,SPRD-PT-1,SZE(M)-PT-1,TYPE-PT-1,WAL-PT-1,YLD-PT-1,BNCH-PT-2,C/E-PT-2,CCY-PT-2,CPN-PT-2,DR-PT-2,FI-PT-2,GDNC-PT-2,KR-PT-2,LTV-PT-2,MO-PT-2,PRICE-PT-2,SP-PT-2,SPRD-PT-2,SZE(M)-PT-2,TYPE-PT-2,WAL-PT-2,YLD-PT-2,BNCH-R-1,C/E-R-1,CCY-R-1,CPN-R-1,DR-R-1,FI-R-1,GDNC-R-1,KR-R-1,LTV-R-1,MO-R-1,PRICE-R-1,SP-R-1,SPRD-R-1,SZE(M)-R-1,TYPE-R-1,WAL-R-1,YLD-R-1,BNCH-R-2,C/E-R-2,CCY-R-2,CPN-R-2,DR-R-2,FI-R-2,GDNC-R-2,KR-R-2,LTV-R-2,MO-R-2,PRICE-R-2,SP-R-2,SPRD-R-2,SZE(M)-R-2,TYPE-R-2,WAL-R-2,YLD-R-2,Open,High,Low,Close,Adj Close,Volume
2021-12-02,256.0,YLD,15.00%,USD,1.50%,-,-,-,-,-,-,-,-,-,255.0,Fixed,1.53,1.51%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,-,USD,-,-,-,-,-,-,-,Retained,-,-,0.95,-,-,-,-,-,USD,-,-,-,-,-,-,-,Retained,-,-,0.05,-,-,-,16.41,16.625,15.96,16.43,16.43,27033800
2022-11-14,440.0,I-Curve,26.98%,USD,6.21%,AAA,-,-,AAA,-,Aaa,99.99767,-,170,440.0,Fixed,0.68,6.29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.89,6.05,5.72,5.86,5.86,47833200
